Stamp,Speed(m/h)
2016-03-01 00:00:00,63.52376602376603
2016-03-01 00:05:00,64.17053042053044
2016-03-01 00:10:00,63.31734831734832
2016-03-01 00:15:00,64.85532485532485
2016-03-01 00:20:00,64.65379215379215
2016-03-01 00:25:00,61.831830581830566
2016-03-01 00:30:00,62.863924113924114
2016-03-01 00:35:00,63.03385553385554
2016-03-01 00:40:00,63.257269507269505
2016-03-01 00:45:00,65.88829838829838
2016-03-01 00:50:00,62.21654721654722
2016-03-01 00:55:00,63.53336103336103
2016-03-01 01:00:00,63.36604336604336
2016-03-01 01:05:00,62.851589101589106
2016-03-01 01:10:00,61.83646933646934
2016-03-01 01:15:00,64.74124974124975
2016-03-01 01:20:00,61.342673842673854
2016-03-01 01:25:00,59.00663400663401
2016-03-01 01:30:00,63.59656984656985
2016-03-01 01:35:00,60.093402593402594
2016-03-01 01:40:00,62.14261464261465
2016-03-01 01:45:00,64.89087989087989
2016-03-01 01:50:00,61.544235294235285
2016-03-01 01:55:00,57.866440366440365
2016-03-01 02:00:00,59.568857068857056
2016-03-01 02:05:00,63.22741822741822
2016-03-01 02:10:00,61.97499447499448
2016-03-01 02:15:00,59.13479788479789
2016-03-01 02:20:00,59.91182991182991
2016-03-01 02:25:00,59.34270184270186
2016-03-01 02:30:00,57.91788666788667
2016-03-01 02:35:00,56.11245486245486
2016-03-01 02:40:00,59.6398158898159
2016-03-01 02:45:00,53.409779659779645
2016-03-01 02:50:00,58.54270354270354
2016-03-01 02:55:00,62.04157829157829
2016-03-01 03:00:00,64.31036431036429
2016-03-01 03:05:00,61.45761645761645
2016-03-01 03:10:00,59.51183076183078
2016-03-01 03:15:00,59.624982124982125
2016-03-01 03:20:00,63.96093896093896
2016-03-01 03:25:00,60.66965316965317
2016-03-01 03:30:00,57.81771031771032
2016-03-01 03:35:00,58.97902772902773
2016-03-01 03:40:00,49.94892244892245
2016-03-01 03:45:00,57.81297656297657
2016-03-01 03:50:00,59.6638234138234
2016-03-01 03:55:00,62.85336535336536
2016-03-01 04:00:00,55.032262532262536
2016-03-01 04:05:00,57.77345402345403
2016-03-01 04:10:00,59.27360677360678
2016-03-01 04:15:00,64.22490672490673
2016-03-01 04:20:00,59.67787467787467
2016-03-01 04:25:00,58.714473714473705
2016-03-01 04:30:00,56.2570825070825
2016-03-01 04:35:00,57.795389045389044
2016-03-01 04:40:00,60.14034139034138
2016-03-01 04:45:00,61.92149317149317
2016-03-01 04:50:00,62.77908152908154
2016-03-01 04:55:00,59.220436720436716
2016-03-01 05:00:00,56.27415627415628
2016-03-01 05:05:00,53.01972551972553
2016-03-01 05:10:00,58.701259951259956
2016-03-01 05:15:00,60.31975031975031
2016-03-01 05:20:00,52.92865792865794
2016-03-01 05:25:00,56.7970417970418
2016-03-01 05:30:00,59.77951852951854
2016-03-01 05:35:00,53.87340887340888
2016-03-01 05:40:00,57.47127997127998
2016-03-01 05:45:00,53.84326884326885
2016-03-01 05:50:00,56.93100318100318
2016-03-01 05:55:00,56.120196120196134
2016-03-01 06:00:00,57.221718471718475
2016-03-01 06:05:00,52.06307331307331
2016-03-01 06:10:00,56.41338141338142
2016-03-01 06:15:00,53.097668097668105
2016-03-01 06:20:00,53.69132494132494
2016-03-01 06:25:00,56.209002459002456
2016-03-01 06:30:00,57.26646476646476
2016-03-01 06:35:00,54.78179103179104
2016-03-01 06:40:00,57.20841845841846
2016-03-01 06:45:00,55.47096297096297
2016-03-01 06:50:00,54.483066983066976
2016-03-01 06:55:00,52.410508660508654
2016-03-01 07:00:00,57.13263463263464
2016-03-01 07:05:00,52.26033851033851
2016-03-01 07:10:00,50.25578275578275
2016-03-01 07:15:00,52.70303395303395
2016-03-01 07:20:00,52.50831500831501
2016-03-01 07:25:00,51.380743880743886
2016-03-01 07:30:00,51.502490252490254
2016-03-01 07:35:00,53.24387324387325
2016-03-01 07:40:00,50.69469944469945
2016-03-01 07:45:00,52.49147124147125
2016-03-01 07:50:00,52.13369213369214
2016-03-01 07:55:00,53.78567003567005
2016-03-01 08:00:00,50.1384713884714
2016-03-01 08:05:00,52.418677418677426
2016-03-01 08:10:00,48.574363574363595
2016-03-01 08:15:00,49.3508006008006
2016-03-01 08:20:00,49.631589631589634
2016-03-01 08:25:00,47.05922330922332
2016-03-01 08:30:00,48.290442040442045
2016-03-01 08:35:00,50.096985096985094
2016-03-01 08:40:00,51.0976735976736
2016-03-01 08:45:00,52.114274614274606
2016-03-01 08:50:00,50.72440947440949
2016-03-01 08:55:00,53.44758719758721
2016-03-01 09:00:00,53.422947172947175
2016-03-01 09:05:00,51.7879317879318
2016-03-01 09:10:00,53.15706815706816
2016-03-01 09:15:00,53.14714314714315
2016-03-01 09:20:00,48.66870741870742
2016-03-01 09:25:00,49.08261158261159
2016-03-01 09:30:00,46.68861293861294
2016-03-01 09:35:00,50.41119541119542
2016-03-01 09:40:00,50.8605421105421
2016-03-01 09:45:00,49.03174278174279
2016-03-01 09:50:00,45.903580903580895
2016-03-01 09:55:00,45.8512121012121
2016-03-01 10:00:00,49.99217624217625
2016-03-01 10:05:00,46.45854895854897
2016-03-01 10:10:00,48.03294928294928
2016-03-01 10:15:00,48.23056698056699
2016-03-01 10:20:00,47.61019011019012
2016-03-01 10:25:00,48.64414114414115
2016-03-01 10:30:00,47.153587153587154
2016-03-01 10:35:00,46.141522391522386
2016-03-01 10:40:00,45.052240052240045
2016-03-01 10:45:00,42.621891371891365
2016-03-01 10:50:00,42.916419166419175
2016-03-01 10:55:00,45.11848261848264
